Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,063254,1976,01,23.8,Y
IDCJAC0002,063254,1976,02,23.4,Y
IDCJAC0002,063254,1976,03,20.9,Y
IDCJAC0002,063254,1976,04,17.3,Y
IDCJAC0002,063254,1976,05,14.3,Y
IDCJAC0002,063254,1976,06,10.8,Y
IDCJAC0002,063254,1976,07,10.3,Y
IDCJAC0002,063254,1976,08,10.6,Y
IDCJAC0002,063254,1976,09,11.6,Y
IDCJAC0002,063254,1976,10,13.7,Y
IDCJAC0002,063254,1976,11,18.8,Y
IDCJAC0002,063254,1976,12,24.7,Y
IDCJAC0002,063254,1977,01,26.6,Y
IDCJAC0002,063254,1977,02,26.8,Y
IDCJAC0002,063254,1977,03,22.1,Y
IDCJAC0002,063254,1977,04,18.5,Y
IDCJAC0002,063254,1977,05,12.7,Y
IDCJAC0002,063254,1977,06,9.2,Y
IDCJAC0002,063254,1977,07,8.5,Y
IDCJAC0002,063254,1977,08,12.9,Y
IDCJAC0002,063254,1977,09,13.1,Y
IDCJAC0002,063254,1977,10,19.4,Y
IDCJAC0002,063254,1977,11,23.2,Y
IDCJAC0002,063254,1977,12,26.6,Y
IDCJAC0002,063254,1978,01,24.5,Y
IDCJAC0002,063254,1978,02,25.9,Y
IDCJAC0002,063254,1978,03,22.0,Y
IDCJAC0002,063254,1978,04,17.1,Y
IDCJAC0002,063254,1978,05,13.6,Y
IDCJAC0002,063254,1978,06,8.7,Y
IDCJAC0002,063254,1978,07,7.4,Y
IDCJAC0002,063254,1978,08,9.0,Y
IDCJAC0002,063254,1978,09,12.0,Y
IDCJAC0002,063254,1978,10,16.4,Y
IDCJAC0002,063254,1978,11,19.0,Y
IDCJAC0002,063254,1978,12,21.7,Y
IDCJAC0002,063254,1979,01,29.2,Y
IDCJAC0002,063254,1979,02,27.4,Y
IDCJAC0002,063254,1979,03,23.0,Y
IDCJAC0002,063254,1979,04,17.0,Y
IDCJAC0002,063254,1979,05,12.3,Y
IDCJAC0002,063254,1979,06,11.9,Y
IDCJAC0002,063254,1979,07,9.7,Y
IDCJAC0002,063254,1979,08,10.4,Y
IDCJAC0002,063254,1979,09,13.1,Y
IDCJAC0002,063254,1979,10,16.8,Y
IDCJAC0002,063254,1979,11,22.1,Y
IDCJAC0002,063254,1979,12,28.0,Y
IDCJAC0002,063254,1980,01,24.9,Y
IDCJAC0002,063254,1980,02,27.0,Y
IDCJAC0002,063254,1980,03,25.2,Y
IDCJAC0002,063254,1980,04,20.9,Y
IDCJAC0002,063254,1980,05,14.6,Y
IDCJAC0002,063254,1980,06,10.2,Y
IDCJAC0002,063254,1980,07,8.9,Y
IDCJAC0002,063254,1980,08,11.9,Y
IDCJAC0002,063254,1980,09,15.5,Y
IDCJAC0002,063254,1980,10,19.7,Y
IDCJAC0002,063254,1980,11,24.0,Y
IDCJAC0002,063254,1980,12,26.1,Y
IDCJAC0002,063254,1981,01,29.8,Y
IDCJAC0002,063254,1981,02,25.8,Y
IDCJAC0002,063254,1981,03,22.9,Y
IDCJAC0002,063254,1981,04,20.5,Y
IDCJAC0002,063254,1981,05,13.5,Y
IDCJAC0002,063254,1981,06,8.0,Y
IDCJAC0002,063254,1981,07,8.1,Y
IDCJAC0002,063254,1981,08,8.5,Y
IDCJAC0002,063254,1981,09,15.4,Y
IDCJAC0002,063254,1981,10,17.8,Y
IDCJAC0002,063254,1981,11,18.4,Y
IDCJAC0002,063254,1981,12,24.3,Y
IDCJAC0002,063254,1982,01,27.4,Y
IDCJAC0002,063254,1982,02,27.6,Y
IDCJAC0002,063254,1982,03,21.7,Y
IDCJAC0002,063254,1982,04,18.4,Y
IDCJAC0002,063254,1982,05,14.3,Y
IDCJAC0002,063254,1982,06,9.6,Y
IDCJAC0002,063254,1982,07,8.7,Y
IDCJAC0002,063254,1982,08,14.8,Y
IDCJAC0002,063254,1982,09,13.9,Y
IDCJAC0002,063254,1982,10,18.8,Y
IDCJAC0002,063254,1982,11,26.1,Y
IDCJAC0002,063254,1982,12,25.7,Y
IDCJAC0002,063254,1983,01,26.5,Y
IDCJAC0002,063254,1983,02,28.2,Y
IDCJAC0002,063254,1983,03,25.0,Y
IDCJAC0002,063254,1983,04,15.5,Y
IDCJAC0002,063254,1983,05,13.3,Y
IDCJAC0002,063254,1983,06,9.6,Y
IDCJAC0002,063254,1983,07,8.7,Y
IDCJAC0002,063254,1983,08,10.8,Y
IDCJAC0002,063254,1983,09,13.9,Y
IDCJAC0002,063254,1983,10,17.4,Y
IDCJAC0002,063254,1983,11,18.3,Y
IDCJAC0002,063254,1983,12,22.9,Y
IDCJAC0002,063254,1984,01,22.1,Y
IDCJAC0002,063254,1984,02,23.5,Y
IDCJAC0002,063254,1984,03,20.6,Y
IDCJAC0002,063254,1984,04,17.3,Y
IDCJAC0002,063254,1984,05,14.1,Y
IDCJAC0002,063254,1984,06,12.4,Y
IDCJAC0002,063254,1984,07,7.8,Y
IDCJAC0002,063254,1984,08,9.8,Y
IDCJAC0002,063254,1984,09,11.4,Y
IDCJAC0002,063254,1984,10,16.9,Y
IDCJAC0002,063254,1984,11,20.8,Y
IDCJAC0002,063254,1984,12,23.0,Y
IDCJAC0002,063254,1985,01,27.4,Y
IDCJAC0002,063254,1985,02,25.7,Y
IDCJAC0002,063254,1985,03,23.4,Y
IDCJAC0002,063254,1985,04,16.9,Y
IDCJAC0002,063254,1985,05,14.2,Y
IDCJAC0002,063254,1985,06,9.4,Y
IDCJAC0002,063254,1985,07,9.9,Y
IDCJAC0002,063254,1985,08,9.9,Y
IDCJAC0002,063254,1985,09,12.8,Y
IDCJAC0002,063254,1985,10,16.9,Y
IDCJAC0002,063254,1985,11,19.2,Y
IDCJAC0002,063254,1985,12,21.8,Y
IDCJAC0002,063254,1986,01,24.1,Y
IDCJAC0002,063254,1986,02,25.9,Y
IDCJAC0002,063254,1986,03,26.2,Y
IDCJAC0002,063254,1986,04,20.0,Y
IDCJAC0002,063254,1986,05,14.6,Y
IDCJAC0002,063254,1986,06,9.6,Y
IDCJAC0002,063254,1986,07,8.6,Y
IDCJAC0002,063254,1986,08,10.5,Y
IDCJAC0002,063254,1986,09,13.4,Y
IDCJAC0002,063254,1986,10,14.2,Y
IDCJAC0002,063254,1986,11,19.0,Y
IDCJAC0002,063254,1986,12,22.6,Y
IDCJAC0002,063254,1987,01,26.9,Y
IDCJAC0002,063254,1987,02,26.5,Y
IDCJAC0002,063254,1987,03,19.2,Y
IDCJAC0002,063254,1987,04,18.7,Y
IDCJAC0002,063254,1987,05,13.3,Y
IDCJAC0002,063254,1987,06,11.0,Y
IDCJAC0002,063254,1987,07,9.3,Y
IDCJAC0002,063254,1987,08,11.3,Y
IDCJAC0002,063254,1987,09,14.8,Y
IDCJAC0002,063254,1987,10,16.3,Y
IDCJAC0002,063254,1987,11,20.2,Y
IDCJAC0002,063254,1987,12,23.6,Y
IDCJAC0002,063254,1988,01,27.4,Y
IDCJAC0002,063254,1988,02,24.3,Y
IDCJAC0002,063254,1988,03,22.2,Y
IDCJAC0002,063254,1988,04,17.4,Y
IDCJAC0002,063254,1988,05,13.4,Y
IDCJAC0002,063254,1988,06,10.7,Y
IDCJAC0002,063254,1988,07,10.1,Y
IDCJAC0002,063254,1988,08,11.5,Y
IDCJAC0002,063254,1988,09,14.1,Y
IDCJAC0002,063254,1988,10,19.2,Y
IDCJAC0002,063254,1988,11,20.9,Y
IDCJAC0002,063254,1988,12,24.2,Y
IDCJAC0002,063254,1989,01,22.9,Y
IDCJAC0002,063254,1989,02,25.1,Y
IDCJAC0002,063254,1989,03,22.0,Y
IDCJAC0002,063254,1989,04,17.5,Y
IDCJAC0002,063254,1989,05,14.3,Y
IDCJAC0002,063254,1989,06,9.9,Y
IDCJAC0002,063254,1989,07,7.3,Y
IDCJAC0002,063254,1989,08,8.3,Y
IDCJAC0002,063254,1989,09,13.7,Y
IDCJAC0002,063254,1989,10,16.2,Y
IDCJAC0002,063254,1989,11,20.8,Y
IDCJAC0002,063254,1989,12,24.6,Y
IDCJAC0002,063254,1990,01,27.3,Y
IDCJAC0002,063254,1990,02,23.2,Y
IDCJAC0002,063254,1990,03,23.2,Y
IDCJAC0002,063254,1990,04,16.4,Y
IDCJAC0002,063254,1990,05,14.1,Y
IDCJAC0002,063254,1990,06,9.1,Y
IDCJAC0002,063254,1990,07,8.5,Y
IDCJAC0002,063254,1990,08,8.0,Y
IDCJAC0002,063254,1990,09,13.2,Y
IDCJAC0002,063254,1990,10,17.0,Y
IDCJAC0002,063254,1990,11,22.1,Y
IDCJAC0002,063254,1990,12,28.0,Y
IDCJAC0002,063254,1991,01,27.4,Y
IDCJAC0002,063254,1991,02,30.1,Y
IDCJAC0002,063254,1991,03,24.8,Y
IDCJAC0002,063254,1991,04,18.7,Y
IDCJAC0002,063254,1991,05,14.9,Y
IDCJAC0002,063254,1991,06,12.0,Y
IDCJAC0002,063254,1991,07,8.3,Y
IDCJAC0002,063254,1991,08,8.6,Y
IDCJAC0002,063254,1991,09,12.9,Y
IDCJAC0002,063254,1991,10,19.2,Y
IDCJAC0002,063254,1991,11,20.6,Y
IDCJAC0002,063254,1991,12,22.1,Y
IDCJAC0002,063254,1992,01,24.4,Y
IDCJAC0002,063254,1992,02,21.9,Y
IDCJAC0002,063254,1992,03,22.4,Y
IDCJAC0002,063254,1992,04,18.3,Y
IDCJAC0002,063254,1992,05,13.7,Y
IDCJAC0002,063254,1992,06,9.6,Y
IDCJAC0002,063254,1992,07,9.9,Y
IDCJAC0002,063254,1992,08,9.6,Y
IDCJAC0002,063254,1992,09,11.2,Y
IDCJAC0002,063254,1992,10,16.3,Y
IDCJAC0002,063254,1992,11,17.6,Y
IDCJAC0002,063254,1992,12,20.9,Y
IDCJAC0002,063254,1993,01,26.5,Y
