Global Land and Ocean Temperature Anomalies,
Units: Degrees Celsius,
Base Period: 1901-2000,
Missing: -999,
Year,Value
195801,0.29
195802,0.21
195803,0.12
195804,0.11
195805,0.1
195806,0.06
195807,0.06
195808,0.05
195809,0.02
195810,0.04
195811,0.09
195812,0.15
195901,0.12
195902,0.06
195903,0.2
195904,0.12
195905,0.02
195906,0.08
195907,0.07
195908,0.05
195909,0.09
195910,-0.02
195911,-0.08
195912,-0.04
196001,0
196002,0.18
196003,-0.21
196004,-0.1
196005,-0.09
196006,0.07
196007,0.03
196008,0.04
196009,0.06
196010,0.03
196011,-0.05
196012,0.22
196101,0.12
196102,0.17
196103,0.16
196104,0.13
196105,0.16
196106,0.15
196107,0.03
196108,0.03
196109,-0.01
196110,-0.04
196111,0.01
196112,-0.02
196201,0.13
196202,0.17
196203,0.12
196204,0.07
196205,0.06
196206,0.06
196207,0.09
196208,0.05
196209,0.06
196210,0.08
196211,0.07
196212,0.08
196301,0.04
196302,0.25
196303,-0.03
196304,-0.01
196305,0.01
196306,0.05
196307,0.14
196308,0.15
196309,0.16
196310,0.21
196311,0.19
196312,0.08
196401,0.05
196402,-0.11
196403,-0.14
196404,-0.19
196405,-0.1
196406,-0.09
196407,-0.11
196408,-0.17
196409,-0.21
196410,-0.27
196411,-0.21
196412,-0.27
196501,-0.07
196502,-0.2
196503,-0.1
196504,-0.19
196505,-0.08
196506,-0.05
196507,-0.09
196508,-0.05
196509,-0.05
196510,0.02
196511,-0.09
196512,-0.02
196601,-0.05
196602,-0.04
196603,0
196604,-0.09
196605,-0.04
196606,0.05
196607,0.06
196608,0.02
196609,0.02
196610,-0.06
196611,-0.05
196612,-0.13
196701,-0.11
196702,-0.17
196703,0
196704,0
196705,0.12
196706,-0.03
196707,-0.02
196708,-0.01
196709,-0.03
196710,0.13
196711,-0.03
196712,-0.04
196801,-0.19
196802,-0.13
196803,0.15
196804,-0.07
196805,-0.08
196806,-0.02
196807,-0.02
196808,-0.02
196809,-0.01
196810,0.04
196811,0.01
196812,-0.05
196901,-0.13
196902,-0.11
196903,0.12
196904,0.19
196905,0.17
196906,0.07
196907,0.09
196908,0.09
196909,0.08
196910,0.07
196911,0.19
196912,0.24
197001,0.12
197002,0.23
197003,0.03
197004,0.13
197005,0.04
197006,0.03
197007,-0.03
197008,-0.02
197009,0
197010,-0.04
197011,0.02
197012,-0.1
197101,-0.01
197102,-0.22
197103,-0.14
197104,-0.13
197105,-0.09
197106,-0.13
197107,-0.07
197108,-0.07
197109,-0.05
197110,-0.08
197111,0.03
197112,-0.02
197201,-0.24
197202,-0.17
197203,0
197204,0.04
197205,0.01
197206,0.08
197207,0.06
197208,0.09
197209,0.02
197210,0.09
197211,0.08
197212,0.25
197301,0.26
197302,0.37
197303,0.33
197304,0.25
197305,0.21
197306,0.19
197307,0.11
197308,0.07
197309,0.05
197310,0.04
197311,0.02
197312,0.02
197401,-0.2
197402,-0.26
197403,-0.05
197404,-0.05
197405,-0.03
197406,-0.04
197407,0.02
197408,0.01
197409,-0.05
197410,-0.08
197411,-0.07
197412,-0.1
197501,0.12
197502,0.03
197503,0.11
197504,0.08
197505,0.07
197506,0.03
197507,0
197508,-0.07
197509,0.01
197510,-0.13
197511,-0.15
197512,-0.09
